"profile","total_area_ha","area_ha_[0,0.05)","area_ha_[0.05,0.10)","area_ha_[0.10,0.25)","area_ha_[0.25,0.50)","area_ha_[0.50,0.75)","area_ha_[0.75,0.90)","area_ha_[0.90,1]"
"FULL",450459.201401854,18320.98,7302.57,26931.59,2608.69,10237.81,2240.46,382817.1
"NO_HOTSPOT",450459.201401854,13258.83,5038.2,14230.08,12796.41,10034.9,1413.57,393687.2
