"config","n","n_pos","n_neg","AUC_ROC","PR_AUC","best_f1_thr","best_f1","prec_at_bestF1","rec_at_bestF1","prec_at_0.50","rec_at_0.50","f1_at_0.50","prec_at_0.25","rec_at_0.25","f1_at_0.25"
"FULL_ConfigA_legacy",15282,532,14750,0.999964317573595,0.998622410100501,0.93,0.997177798682973,0.998116760828625,0.996240601503759,0.990671641791045,0.99812030075188,0.99438202247191,0.985185185185185,1,0.992537313432836
"FULL_ConfigB_nested_capped(DEPLOYED)",15282,532,14750,0.999988148336944,0.99965351787537,0.85,0.99623352165725,0.99811320754717,0.994360902255639,0.983333333333333,0.99812030075188,0.990671641791045,0.979742173112339,1,0.989767441860465
"FULL_ConfigC_nested_full",15282,532,14750,0.99997170893335,0.999004639079224,0.84,0.99624765478424,0.99438202247191,0.99812030075188,0.990689013035382,1,0.995322731524789,0.985185185185185,1,0.992537313432836
"NOHS_nested_capped(DEPLOYED)",15282,532,14750,0.999963680387409,0.998820844759046,0.77,0.992523364485981,0.986988847583643,0.99812030075188,0.981515711645102,0.99812030075188,0.989748369058714,0.981549815498155,1,0.990689013035382
"NOHS_nested_full_diagnostic",15282,532,14750,0.999970052249267,0.998998400404219,0.96,0.99438202247191,0.990671641791045,0.99812030075188,0.981549815498155,1,0.990689013035382,0.979742173112339,1,0.989767441860465
