"profile","n","min","P01","P05","P10","P25","median","mean","P75","P90","P95","P99","max","sd","pct_gt_0.25","pct_gt_0.50","n_[0,0.05)","n_[0.05,0.10)","n_[0.10,0.25)","n_[0.25,0.50)","n_[0.50,0.75)","n_[0.75,0.90)","n_[0.90,1]"
"FULL",1274,0.00174018676174669,0.00493482779711485,0.00557133972179145,0.00959170842543245,0.118741672486067,0.928307950496674,0.60018193465278,0.995461910963058,0.996279060840607,0.996383190155029,0.996383190155029,0.996383190155029,0.434676493314458,60.596546310832,59.105180533752,203,71,228,19,69,20,664
"NO_HOTSPOT",1274,0.00186628033407032,0.00601458922028542,0.00701688756234945,0.0437916122376919,0.454683586955071,0.991679251194,0.753700826579136,0.997524172067642,0.997864782810211,0.997864782810211,0.997864782810211,0.997864782810211,0.378463779144915,79.9843014128728,72.9984301412873,138,34,83,89,33,19,878
